id	url	name	name	street_address	locality	region	postal_code	acres	counties	adopted_2017_standards_&_practices	number_of_board_members	number_of_full_time_staff	number_of_supporters	number_of_volunteers	year_first_joined	features
congaree-land-trust-sc	https://findalandtrust.org/land-trusts/explore/congaree-land-trust-sc	Congaree Land Trust	Congaree Land Trust	2711 Middleburg Drive Suite 312	Columbia	SC	29204-2486	88,482	Bamberg, Calhoun, Clarendon, Fairfield, Kershaw, Lee, Lexington, Newberry, Orangeburg, Richland, Sumter, Williamsburg	Yes	17	4	400	35	1993	Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
south-jersey-land-and-water-trust-nj	https://findalandtrust.org/land-trusts/explore/south-jersey-land-and-water-trust-nj	South Jersey Land and Water Trust	South Jersey Land and Water Trust	21 Main St	Swedesboro	NJ	08085-3065	1,425	Atlantic, Camden, Cape May, Cumberland, Gloucester, Salem	Yes	8	1	50		1992	Public Access
wawasee-area-conservancy-foundation-in	https://findalandtrust.org/land-trusts/explore/wawasee-area-conservancy-foundation-in	Wawasee Area Conservancy Foundation	Wawasee Area Conservancy Foundation	PO Box 548	Syracuse	IN	46567-0548	968	Kosciusko, Noble	Yes	19		726	46	1992	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
the-buck-hill-conservation-foundation-pa	https://findalandtrust.org/land-trusts/explore/the-buck-hill-conservation-foundation-pa	The Buck Hill Conservation Foundation	The Buck Hill Conservation Foundation	PO Box 350	Buck Hill Falls	PA	18323-0350	125	Monroe	Yes	17	1	350	25	1993	Public Access|Forests|Wildlife Habitat
southern-oregon-land-conservancy-or	https://findalandtrust.org/land-trusts/explore/southern-oregon-land-conservancy-or	Southern Oregon Land Conservancy	Southern Oregon Land Conservancy	84 4th St	Ashland	OR	97520-2150	11,921	Curry, Douglas, Jackson, Josephine, Lake	Yes	12	9	600	146	1995	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
battenkill-conservancy-ny	https://findalandtrust.org/land-trusts/explore/battenkill-conservancy-ny	Battenkill Conservancy	Battenkill Conservancy	PO Box 327	Cambridge	NY	12816-0327	1,214	Rensselaer, Saratoga, Warren, Washington	Yes	8		300	50	1993	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
mohawk-hudson-land-conservancy-ny	https://findalandtrust.org/land-trusts/explore/mohawk-hudson-land-conservancy-ny	Mohawk Hudson Land Conservancy	Mohawk Hudson Land Conservancy	425 Kenwood Ave	Delmar	NY	12054-1805	12,642	Albany, Montgomery, Schenectady	Yes	15	5	1,500	150	1992	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
great-rivers-land-trust-il	https://findalandtrust.org/land-trusts/explore/great-rivers-land-trust-il	Great Rivers Land Trust	Great Rivers Land Trust	PO Box 821	Alton	IL	62002-0821	1,942	Jersey, Madison	Yes	12	4	1,000	50	1993	Public Access|Volunteer Opportunities
katawba-valley-land-trust-sc	https://findalandtrust.org/land-trusts/explore/katawba-valley-land-trust-sc	Katawba Valley Land Trust	Katawba Valley Land Trust	PO Box 1776	Lancaster	SC	29721-1776	11,752	Chester, Kershaw, Lancaster	Yes	9	1	250	10	1992	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
lake-county-land-trust-ca	https://findalandtrust.org/land-trusts/explore/lake-county-land-trust-ca	Lake County Land Trust	Lake County Land Trust	PO Box 1017	Lakeport	CA	95453-1017	941	Lake	Yes	7		300	6	1996	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
southeast-land-trust-of-new-hampshire-nh	https://findalandtrust.org/land-trusts/explore/southeast-land-trust-of-new-hampshire-nh	Southeast Land Trust of New Hampshire	Southeast Land Trust of New Hampshire	6 Center St PO Box 675	Exeter	NH	03833-2419	24,102	Carroll, Rockingham, Strafford	Yes	15	12	2,048	165	1992	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
magothy-river-land-trust-md	https://findalandtrust.org/land-trusts/explore/magothy-river-land-trust-md	Magothy River Land Trust	Magothy River Land Trust	PO Box 126	Severna Park	MD	21146-0126	445	Anne Arundel		5		30	10	2021	Volunteer Opportunities
forterra-wa	https://findalandtrust.org/land-trusts/explore/forterra-wa	Forterra	Forterra	PO Box 4189	Seattle	WA	98194-0189	228,700	Benton, Chelan, Clallam, Clark, Cowlitz, Grays Harbor, Jefferson, King, Kitsap, Kittitas, Lewis, Mason, Pacific, Pierce, Skagit, Snohomish, Thurston, Yakima	Yes	19	70	2,000	3	1992	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
coastal-headwaters-association-inc-ca	https://findalandtrust.org/land-trusts/explore/coastal-headwaters-association-inc-ca	Coastal Headwaters Association, Inc.	Coastal Headwaters Association, Inc.	PO Box 12	Whitethorn	CA	95589-0012	0	Humboldt	Yes					1991	
truro-conservation-trust-ma	https://findalandtrust.org/land-trusts/explore/truro-conservation-trust-ma	Truro Conservation Trust	Truro Conservation Trust	PO Box 327	North Truro	MA	02652-0327	290	Barnstable	Yes			800		1987	
somers-land-trust-ny	https://findalandtrust.org/land-trusts/explore/somers-land-trust-ny	Somers Land Trust	Somers Land Trust	PO Box 248	Somers	NY	10589-0248	861	Westchester	Yes	8		46	45	1992	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
lord-berkeley-conservation-trust-sc	https://findalandtrust.org/land-trusts/explore/lord-berkeley-conservation-trust-sc	Lord Berkeley Conservation Trust	Lord Berkeley Conservation Trust	136 E Railroad Ave	Moncks Corner	SC	29461-3686	51,500	Berkeley, Charleston, Clarendon, Dorchester, Georgetown, Orangeburg, Williamsburg	Yes	15	2	200	3	1997	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
